库名,表名,路径,du B（不准确）,du TB,使用者,业务线,目录属主,目录属组,文件数量,分区格式,保留周期（天）,已配置TTL
report_tb,likee_reward_lqt_test_step_xxl_swhd_2,/data/hive/report_tb.db/likee_reward_lqt_test_step_xxl_swhd_2,21270,0,xuxiaolin,,xuxiaolin,hdfs,,,,
report_tb,likee_follow_lqt_test_step_xxl_swhd_2,/data/hive/report_tb.db/likee_follow_lqt_test_step_xxl_swhd_2,12129,0,xuxiaolin,,xuxiaolin,hdfs,,,,
report_tb,likee_audience_test_step_xxl_swhd_2,/data/hive/report_tb.db/likee_audience_test_step_xxl_swhd_2,55068,0,xuxiaolin,,xuxiaolin,hdfs,,,,
report_tb,lyn_churn_svip_m1_prediction_o,/data/hive/report_tb.db/lyn_churn_svip_m1_prediction_o,582189,0,lyn,,lyn,hdfs,,,,
report_tb,lyn_churn_svip_m1_prediction_t,/data/hive/report_tb.db/lyn_churn_svip_m1_prediction_t,39887460,0,lyn,,lyn,hdfs,,,,
report_tb,lyl_like_moment_tab_abtest_hdid_list_0617,/data/hive/report_tb.db/lyl_like_moment_tab_abtest_hdid_list_0617,925784896,0.095,lanqiangtai,,lanqiangtai,hdfs,,,,
report_tb,video_score_0601_0610,/data/hive/report_tb.db/video_score_0601_0610,22827654,0,sunweihong,,sunweihong,hdfs,,,,
report_tb,video_score_0521_0531,/data/hive/report_tb.db/video_score_0521_0531,16853322,0,sunweihong,,sunweihong,hdfs,,,,
report_tb,wf_likee_profile_next_moment_violation_zxt_v02,/data/hive/report_tb.db/wf_likee_profile_next_moment_violation_zxt_v02,2523,0,zhuoxueteng,,zhuoxueteng,hdfs,,,,
report_tb,bigolive_lx_room_function_enter_click_uid,/data/hive/report_tb.db/bigolive_lx_room_function_enter_click_uid,-1687376256,1.506,lixue,,lixue,hdfs,,day=yyyy-mm-dd,730,done
report_tb,video_score_0511_0520,/data/hive/report_tb.db/video_score_0511_0520,,,sunweihong,,,,,,,
report_tb,like_live_id_diamond,/data/hive/report_tb.db/like_live_id_diamond,35451,0,linrongrong,,linrongrong,hdfs,,,,
