目录,du B,du TB,文件数量,分区格式,保留周期（天）,已配置TTL,业务线,使用者,目录属主,目录属组,数据接入方式,离线/在线迁移,Client版本,迁移状态
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_active_time_uid,"4,798,900,000,000",4.365,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_last_getentry_day,"4,564,490,000,000",4.151,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_perlost_users_day,"4,541,930,000,000",4.131,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_imo_uid_push_ab_day,"4,483,230,000,000",4.077,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_detail_follow_status_day,"4,394,250,000,000",3.997,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_version_day,"4,332,550,000,000",3.940,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_limingjun_feed_entry_accum1,"4,254,770,000,000",3.870,,,,,,,limingjun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_from_feed,"4,097,510,000,000",3.727,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_perlost_users_day_group_buid,"4,039,490,000,000",3.674,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_detail_day,"3,893,140,000,000",3.541,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_push_xiafa_hour,"3,874,150,000,000",3.524,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_active_uid_class,"3,867,030,000,000",3.517,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_huangxiaoyi_out_view,"3,634,010,000,000",3.305,,,,,,,huangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_netstate_completed_rate_day,"3,455,140,000,000",3.142,,,,,,,wangyakun,hdfs,,,,
