库名,表名,路径,du B,du TB,使用者,业务线,目录属主,目录属组,文件数量,分区格式,保留周期（天）,已配置TTL
report_tb,likee_live_owner_living_info,/data/hive/report_tb.db/likee_live_owner_living_info,24149602809,0.021963936,hukun,,hukun,hdfs,,,,
report_tb,caoke_likee_usual_device_last_two_month,/data/hive/report_tb.db/caoke_likee_usual_device_last_two_month,1.96596E+12,1.788028823,caoke,,caoke,hdfs,,,,
report_tb,bigolive_lx_audience_enterroom_source_uid,/data/hive/report_tb.db/bigolive_lx_audience_enterroom_source_uid,3.49131E+13,31.7532959,lixue,,lixue,hdfs,,day=yyyy-mm-dd,31,done
report_tb,imo_to_likee_cvrctr_dunyuhui,/data/hive/report_tb.db/imo_to_likee_cvrctr_dunyuhui,19664196,1.78845E-05,dunyuhui,,dunyuhui,hdfs,,,,
report_tb,woodpecker_daily_report,/data/hive/report_tb.db/woodpecker_daily_report,167013,1.51897E-07,zhangyangjiang,,zhangyangjiang,hdfs,,,,
report_tb,woodpecker_daily_report_page,/data/hive/report_tb.db/woodpecker_daily_report_page,1137495,1.03455E-06,zhangyangjiang,,zhangyangjiang,hdfs,,,,
report_tb,woodpecker_daily_report_board,/data/hive/report_tb.db/woodpecker_daily_report_board,1024695,9.31955E-07,zhangyangjiang,,zhangyangjiang,hdfs,,,,
report_tb,wf_zyy_diffindex,/data/hive/report_tb.db/wf_zyy_diffindex,1515,1.37788E-09,zhangyanyan,,zhangyanyan,hdfs,,,,
report_tb,like_follow_ralationship_report,/data/hive/report_tb.db/like_follow_ralationship_report,80451192,7.31699E-05,liyanli,,liyanli,hdfs,,,,
report_tb,imo_audio_harq_link_in_loss_swh,/data/hive/report_tb.db/imo_audio_harq_link_in_loss_swh,4086695052,0.003716827,sunweihong,,sunweihong,hdfs,,,,
report_tb,likee_live_owner_living_by_entrance,/data/hive/report_tb.db/likee_live_owner_living_by_entrance,24203654433,0.022013095,hukun,,hukun,hdfs,,,,
report_tb,bigolive_hlw_sign_shower_info_time2_new_time2,/data/hive/report_tb.db/bigolive_hlw_sign_shower_info_time2_new_time2,14732358,1.3399E-05,heliwen,,heliwen,hdfs,,,,
report_tb,bigolive_hlw_sign_shower_info_new_time1,/data/hive/report_tb.db/bigolive_hlw_sign_shower_info_new_time1,185783775,0.000168969,heliwen,,heliwen,hdfs,,,,
report_tb,imo_audio_harq_link_out_loss_swh,/data/hive/report_tb.db/imo_audio_harq_link_out_loss_swh,4060726197,0.003693209,sunweihong,,sunweihong,hdfs,,,,
report_tb,bigolive_roi_stat,/data/hive/report_tb.db/bigolive_roi_stat,1432191,1.30257E-06,maihaoqian,,maihaoqian,hdfs,,,,
report_tb,likeelive_owner_dif_level,/data/hive/report_tb.db/likeelive_owner_dif_level,21284778,1.93584E-05,linrongrong,,linrongrong,hdfs,,,,
report_tb,likee_fans_uids_all,/data/hive/report_tb.db/likee_fans_uids_all,6.03414E+12,5.488016551,linrongrong,,linrongrong,hdfs,,,,
report_tb,likee_media_source_roi2,/data/hive/report_tb.db/likee_media_source_roi2,57998442,5.27493E-05,zhongpochen,,zhongpochen,hdfs,,,,
report_tb,like_mdh_review_type_mix2,/data/hive/report_tb.db/like_mdh_review_type_mix2,725904,6.60206E-07,huangyoujia,,huangyoujia,hdfs,,,,
report_tb,imo_av_user_type_20200216,/data/hive/report_tb.db/imo_av_user_type_20200216,2254211586,0.002050193,sunweihong,,sunweihong,hdfs,,,,
report_tb,bigolive_lx_audience_enterroom_source_for_web,/data/hive/report_tb.db/bigolive_lx_audience_enterroom_source_for_web,30653265393,0.027878982,lixue,,lixue,hdfs,,,,
report_tb,bigolive_lx_audience_first_enterroom_source_for_web,/data/hive/report_tb.db/bigolive_lx_audience_first_enterroom_source_for_web,13228709712,0.012031441,lixue,,lixue,hdfs,,,,
